sample,isolation,Accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565 ,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.814_105.0723 ,24.806_119.8074 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
16_1_LA2172_Stem,stem,LA2172,0,0,0,559500.6622,7197595.612,355326.6841,0,0,6768712.433,0,280423.6171,3259040.861,0,0,7108553.539,292037.8005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_2_rep_LA2172_Stem,stem,LA2172,0,0,0,150255.7005,0,244445.8411,0,0,2878779.615,0,0,2501354.572,380332.1462,546037.0232,5199146.253,151293.9516,0,0,81232.76677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_3_LA2172_Stem,stem,LA2172,0,0,0,0,0,749707.5504,0,0,994610.9532,0,257188.4595,0,932228.3926,0,17164776.93,3743272.728,0,0,637067.9397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_1_rep_LA2663_Stem,stem,LA2663,0,0,0,0,84153.46175,0,0,0,0,255677.1476,131887.2575,10038147.33,2438157.985,125194.9128,2884363.599,2486372.447,0,0,567961.9182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594028.7858,0,91067.65215,0,0,0,267582.8658,0,0,0,0,110664.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_2_LA2663_Stem,stem,LA2663,0,0,0,0,0,0,0,0,0,0,0,481316.5452,0,0,475799.2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472646.5419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_3_rep_LA2663_Stem,stem,LA2663,0,0,0,237537.8044,0,0,0,0,0,791950.4091,947785.3034,5281194.094,3178211.66,267348.3257,2975216.205,3293037.371,0,0,372237.1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453466.9242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_1_rep_LA2695_Stem,stem,LA2695,0,0,0,0,0,0,0,0,0,0,350966.069,1514594.071,580673.3611,0,2012614.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413087.0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_2_rep_LA2695_Stem,stem,LA2695,0,0,0,0,0,397137.8631,0,0,0,0,829360.2981,1207656.447,870454.7273,0,2035067.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516847.722,0,0,0,0,0,0,0,0,0,0,0,0,254363.1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_3_rep_LA2695_Stem,stem,LA2695,0,0,0,0,0,112971.9931,0,0,0,0,108941.101,707724.7687,1212763.442,0,910910.2667,0,0,0,113863.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367488.9399,0,53971.14793,0,0,0,130237.0529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_1_LA4024_Stem,stem,LA4024,0,0,0,0,1402414.424,0,0,3475911.204,0,0,21368467.2,13669372.88,14177547.03,291889.3838,40755713.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
