genotype	accession	plant	leaf.side	leaf.disc	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all
S. neo LA2133	LA2133	1	adaxial	2	Sanne	30-jan	2	38	2	0	0	40
S. neo LA2133	LA2133	1	abaxial	1	Sanne	30-jan	1	117	1	0	0	118
S. neo LA2133	LA2133	1	abaxial	2	Sanne	30-jan	0	130	0	0	0	130
S. neo LA2133	LA2133	2	adaxial	1	Sanne	30-jan	0	24	0	0	0	24
S. neo LA2133	LA2133	2	adaxial	2	Sanne	30-jan	7	21	7	0	0	28
S. neo LA2133	LA2133	2	abaxial	1	Sanne	30-jan	1	92	1	0	0	93
S. neo LA2133	LA2133	2	abaxial	2	Sanne	30-jan	2	99	2	0	0	101
S. neo LA2133	LA2133	3	adaxial	1	Aleksandra	02-feb	14	17	2	0	12	31
S. neo LA2133	LA2133	3	adaxial	2	Aleksandra	02-feb	17	17	0	0	17	34
S. neo LA2133	LA2133	3	abaxial	1	Aleksandra	02-feb	2	227	2	0	0	229
S. neo LA2133	LA2133	3	abaxial	2	Aleksandra	02-feb	0	203	0	0	0	203
S. arc LA2172	LA2172	1	adaxial	1	Aleksandra	30-jan	18	49	18	0	0	67
S. arc LA2172	LA2172	1	adaxial	2	Aleksandra	30-jan	11	27	11	0	0	38
S. arc LA2172	LA2172	1	abaxial	1	Aleksandra	30-jan	0	185	0	0	0	185
S. arc LA2172	LA2172	1	abaxial	2	Aleksandra	30-jan	10	177	10	0	0	187
S. arc LA2172	LA2172	9	adaxial	1	Sanne	01-feb	21	89	6	0	15	110
S. arc LA2172	LA2172	9	adaxial	2	Sanne	01-feb	30	50	4	0	26	80
S. arc LA2172	LA2172	9	abaxial	1	Sanne	01-feb	9	295	0	0	9	304
S. arc LA2172	LA2172	9	abaxial	2	Sanne	01-feb	10	249	0	0	10	259
S. arc LA2172	LA2172	2	adaxial	1	Sanne	02-feb	14	45	14	0	0	59
S. arc LA2172	LA2172	2	adaxial	2	Sanne	02-feb	13	30	13	0	0	43
S. arc LA2172	LA2172	2	abaxial	1	Sanne	02-feb	15	160	15	0	0	175
S. arc LA2172	LA2172	2	abaxial	2	Sanne	02-feb	13	143	13	0	0	156
S. arc LA2172	LA2172	6	adaxial	1	Michelle	02-feb	57	500	27	30	0	557
S. arc LA2172	LA2172	6	adaxial	2	Michelle	02-feb	27	260	12	15	0	287
S. arc LA2172	LA2172	6	abaxial	1	Michelle	02-feb	27	700	20	7	0	727
S. arc LA2172	LA2172	6	abaxial	2	Michelle	02-feb	22	700	19	3	0	722
S. arc LA2172	LA2172	7	adaxial	1	Ruy	02-feb	9	34	7	0	2	43
S. arc LA2172	LA2172	7	adaxial	2	Ruy	02-feb	5	60	2	0	3	65
S. arc LA2172	LA2172	7	abaxial	1	Ruy	02-feb	0	0	0	0	0	0
S. arc LA2172	LA2172	7	abaxial	2	Ruy	02-feb	0	0	0	0	0	0
S. chm LA2695 	LA2695	5	adaxial	1	Aleksandra	30-jan	21	76	21	0	0	97
S. chm LA2695 	LA2695	5	adaxial	2	Aleksandra	30-jan	22	111	22	0	0	133
S. chm LA2695 	LA2695	5	abaxial	1	Aleksandra	30-jan	0	357	0	0	0	357
S. chm LA2695 	LA2695	5	abaxial	2	Aleksandra	30-jan	0	415	0	0	0	415
S. chm LA2695 	LA2695	2	adaxial	1	Ruy	31-jan	15	50	15	0	0	65
