genotype	plant	side	leaf.disk	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all	area.mm2
S.arc LA2172	2	abaxial	2	Sanne	02-Feb	13	143	13	0	0	156	12.56637061
S.arc LA2172	6	adaxial	1	Michelle	02-Feb	57	500	27	30	0	557	12.56637061
S.arc LA2172	6	adaxial	2	Michelle	02-Feb	27	260	12	15	0	287	12.56637061
S.arc LA2172	6	abaxial	1	Michelle	02-Feb	27	700	20	7	0	727	12.56637061
S.arc LA2172	6	abaxial	2	Michelle	02-Feb	22	700	19	3	0	722	12.56637061
S.arc LA2172	7	adaxial	1	Ruy	02-Feb	9	34	7	0	2	43	12.56637061
S.arc LA2172	7	adaxial	2	Ruy	02-Feb	5	60	2	0	3	65	12.56637061
S.arc LA2172	7	abaxial	1	Ruy	02-Feb	308	0	0	0	0	308	12.56637061
S.arc LA2172	7	abaxial	2	Ruy	02-Feb	253	0	0	0	0	253	12.56637061
S.chm LA2695 	5	adaxial	1	Aleksandra	30-Jan	21	76	21	0	0	97	12.56637061
S.chm LA2695 	5	adaxial	2	Aleksandra	30-Jan	22	111	22	0	0	133	12.56637061
S.chm LA2695 	5	abaxial	1	Aleksandra	30-Jan	0	357	0	0	0	357	12.56637061
S.chm LA2695 	5	abaxial	2	Aleksandra	30-Jan	0	415	0	0	0	415	12.56637061
S.chm LA2695 	2	adaxial	1	Ruy	31-Jan	15	50	15	0	0	65	12.56637061
S.chm LA2695 	2	adaxial	2	Ruy	31-Jan	15	69	15	0	0	84	12.56637061
S.chm LA2695 	2	abaxial	1	Ruy	31-Jan	3	280	3	0	0	283	12.56637061
S.chm LA2695 	2	abaxial	2	Ruy	31-Jan	4	260	4	0	0	264	12.56637061
S.chm LA2695 	3	adaxial	1	Marc	31-Jan	20	202	33	0	0	222	12.56637061
S.chm LA2695 	3	adaxial	2	Marc	31-Jan	18	177	18	0	0	195	12.56637061
S.chm LA2695 	3	abaxial	1	Marc	31-Jan	13	265	13	0	0	278	12.56637061
S.chm LA2695 	3	abaxial	2	Marc	31-Jan	6	312	6	0	0	318	12.56637061
S.chm LA2695 	1	adaxial	1	Ruy	02-Feb	17	140	5	0	12	157	12.56637061
S.chm LA2695 	1	adaxial	2	Ruy	02-Feb	11	107	6	0	5	118	12.56637061
S.chm LA2695 	1	abaxial	1	Ruy	02-Feb	3	424	3	0	0	427	12.56637061
S.chm LA2695 	1	abaxial	2	Ruy	02-Feb	5	490	5	0	0	495	12.56637061
S.chm LA2695 	4	adaxial	1	Petra	02-Feb	9	96	9	0	0	105	12.56637061
S.chm LA2695 	4	adaxial	2	Petra	02-Feb	24	102	24	0	0	126	12.56637061
S.chm LA2695 	4	abaxial	1	Petra	02-Feb	4	173	4	0	0	177	12.56637061
S.chm LA2695 	4	abaxial	2	Petra	02-Feb	6	158	6	0	0	164	12.56637061
S.lyc LA4024 	1	adaxial	1	Aleksandra	27-Mar	23	15	13	0	10	38	12.56637061
