sample,accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565  -> RT = 9.678,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.806_119.8074 ,24.814_105.0723 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
LA1718_3,LA1718,0,0,0,0,302411.5799,0,0,0,0,0,126830.2582,0,0,592513.6901,80463.59557,0,493888.9076,0,0,0,0,0,0,0,0,0,0,0,0,0,65352.45483,0,0,0,0,0,0,0,0,0,0,0,0,0,88073.80846,0,0,0,86682.90793,0,0,0,152104.9078,0,0,0,121415.6811,0,0,263347.145,255667.3871,0,0,789355.9199,0,510152.5088,138960.8978,0,51195.07445,0,0,123144.3718,253978.4365,0,258459.1232,94720.32599,0,0,605369.585,0,0,0,0,0,0,0,0
LA1777_2_rep_5x,LA1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727588.7365,0,0,0,0,0,0,0,0,0,0,7794912.227,7897532.013,0,0,0,0,0,0,0,0,0,0,3837979.998,0,0,0,0,0,0,1221609.059,0,0,0,0,0,1371636.295,0,0,0,0,0,0,0,6165570.187,0,0,2531239.877,0,0,0,0,0,0,0,0,0,0,0,14196074.32,0,0,2166289.23,0,0,0,0,0,0,0,0
LA1718_2,LA1718,0,0,0,0,430011.5003,0,0,0,0,0,190867.5377,51395.17558,0,359692.8467,315810.191,0,632629.3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189060.4969,0,0,0,0,0,97901.25093,0,0,0,0,0,0,0,0,0,76436.90846,0,0,0,0,0,0,0,0,0,103817.7043,166908.1947,0,0,59669.03751,0,125768.205,180960.9181,0,0,0,104056.197,0,326175.4504,0,0,171301.9639,0,0,0,0,0,0,0,0,0,0,0
LA1718_4,LA1718,0,0,0,0,108378.5789,0,0,0,0,0,230865.0704,0,0,684488.7183,279621.7021,98807.68742,322389.9892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69310.51356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA2172_1,LA2172,0,0,0,0,359149.2556,0,0,0,76043.24775,0,66934.33897,0,0,364868.6397,102219.0796,0,418097.5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36856.69409,0,0,45298.92619,0,0,0,0,255533.6637,0,0,0,0,91952.2587,0,0,0,90408.37585,85046.89179,0,0,0,0,0,0,0,0,0,89769.76977,136886.2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA2172_7,LA2172,0,0,0,0,110823.1228,0,0,0,0,0,51740.6822,0,0,133928.0682,66139.16596,0,139119.1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24345.84657,0,0,30034.98952,0,0,0,0,181188.8383,0,0,0,0,59819.49553,0,0,0,68102.72644,58739.82518,0,0,0,0,0,0,0,0,0,63982.70439,104140.6831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46132.15463,0,0,0,0,0,0,0,0,0,0,0
LA1401_3,LA1401,0,0,0,0,134441.2212,0,0,0,0,0,0,0,0,21691.77963,0,47548.2803,206755.5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88490.88524,0,0,0,0,0,0,0,0,0,28888.82021,0,0,0,0,0,0,0,0,0,0,32193.75492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40535.77922,0,0,0,0,0,0,0,0,0,0,0
Lyc140_3_lv,LA0735,0,0,0,0,49898.53013,0,0,0,0,0,443630.6217,306607.96,66783.75047,39238.60811,565438.5581,45013.23329,283311.1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34641.74208,0,0,0,0,72185.81918,0,0,0,0,58202.93387,0,0,0,59603.02509,30435.45943,0,0,0,0,0,0,0,0,0,59903.47385,83410.58487,0,0,0,0,0,0,0,0,0,0,0,30213.12735,0,0,55510.91298,0,0,0,0,0,0,0,0,0,0,0
Lyc140_2_lv,LA0735,0,0,0,0,95822.62373,0,0,0,0,0,246733.2286,175235.6295,100671.3815,33057.8659,564598.4954,42247.65814,197941.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40475.70373,0,0,0,0,0,0,0,0,0,0,51214.05212,57677.37009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43709.90133,0,0,0,0,0,0,0,0,0,0,0
LA1954_1_lv,LA1954,0,0,0,0,664265.1469,0,0,0,147995.4821,0,0,130511.9094,48331.96046,69068.89611,87437.38351,0,169643.3593,0,33913.05572,0,0,0,0,0,0,0,0,0,0,0,0,53713.02283,0,0,0,0,0,0,0,512547.8176,41779.68742,0,0,0,0,101862.795,0,0,35643.84483,210212.7957,0,0,0,0,0,0,0,0,0,57493.43062,0,0,0,0,0,0,0,0,40289.64717,0,0,0,0,0,51071.29209,0,0,0,0,0,0,0,0,0,0,0,0
