sample,accession,G3:10 ,G2:4 ,G3:10-2 ,G3:11 ,S3:15 ,G3:11-2 ,S4:16 ,G2:5 ,Unknown ,G3:13 ,G3:14 ,G3:6 ,S4:17-2 ,S4:17 ,unknown ,S3:17-2 ,G3:7 ,G3:15-2 ,G3:15 ,S3:12 ,S4:23 ,S4:19-2 ,unknown-1 ,S4:19 ,S3:19 ,S3:18 ,S3:18-2 ,G3:16 ,G3:16-2 ,S3:19-2 ,G3:19 ,S4:20 ,S4:20-2 ,G3:19-2 ,Unknown-2 ,S4:21-3 ,S3:20-2 ,S4:21-2 ,S3:20-3 ,S3:20 ,S4:20-3 ,G3:18 ,S4:21 ,S4:21-4 ,S5:22 ,S4:22-2 ,S4:22 ,S3:21 ,S3:21-3 ,S3:21-2 ,S4:22-3 ,G4:21-3,S5:23 ,G4:21-2 ,S5:23-2 ,G4:21 ,S3:22 ,S5:24 ,S3:22-2 ,S4:23-2 ,S3:22-3 ,G4:22 ,G4:22-3,S3:22-4 ,S3:23 ,S4:24 ,G4:24 ,S2:22 ,G4:32 ,G4:24-2 ,S5:25 ,G4:23 ,G5:25 ,G4:23-2 ,G3:20-2 ,G3:20 ,S3:24 ,G3:21-2 ,G3:21 ,S1:27 ,G3:22 ,G3:22-3 ,G3:22-2 
153,LA0716,0,174,0,3.170506912,0,7.525345622,51.28110599,0,4.65437788,0,397.235023,0,0,63.03686636,10761.28571,7.207373272,0,15.39631336,2371.981567,0,0,0,144.8801843,0,0,3416.460829,832.875576,51.43317972,210.8156682,6368.078341,3151.0553,89.98617512,0,1416.797235,0,0,388.6267281,0,648.797235,0,0,1332.156682,0,0,0,0,0,0,2198.898618,2164.718894,0,0,7.995391705,2.165898618,3.949308756,2.165898618,58.51612903,0,83.79723502,0,335.3456221,0,0,0,0,0.838709677,0,0,0,0,1.976958525,0,2.562211982,0,0,6.400921659,0,0,0,4.695852535,0,28.38709677,3.640552995
154,LA0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041884817,0,0,0,0,0,0,0,0,0,0,0.90052356,0,0,0,0,1.486910995,0,0,0,0,0,0,0,0,1.287958115,0,4.068062827,4.068062827
71,LA0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.342222222,3.728888889,0,0,0,0,0,0,0,0,0,0,0,0,1.475555556,0
72,LA0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.260330579,0,0,0,0,0.987603306,0,1.925619835,0,0,0,0,0,0,0,0,0,0,0,2.078512397,0,4.185950413,3.095041322
113,LA0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.473684211,0,0,0,0,0,0,64.90225564,0,0,475.4661654,0,1143.781955,0,0,0,0,228.3909774,228.3909774,0,162.7443609,1500.203008,0,0,0,0,54.71428571,172.1729323,19.17293233,0,19.17293233,0,5.781954887,0,0,0,86.42857143,6.157894737,0,0,991.8947368,242.6240602,0,3.390977444,132.2631579,638.1954887,0,486.8421053,70.70676692,0,0,0,0,0,1.526315789,0,0.323308271,5.812030075
114,LA0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.220858896,0,0,0,0,0,0,0,0,4.981595092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.343558282,0,1.588957055,0,0,0,0,0,0,0,0,0,0,0,4.294478528,0,0,0
155,LA0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13571429,0,0,0,0,0,0,0,0,5.535714286,0,5.535714286,3.314285714,5.535714286,0,0,0,0,0,11,0,1.142857143,5.192857143
156,LA0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.365517241,0,9.6,0,74.37931034,0,0,0,0,0,0,0,2.944827586,0,0,0,0,0,0,0,0,0,0,0.275862069,0,0.013793103,2.248275862
44,LA1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,133.8647343,0,341.4879227,0,0,0,0,65.06280193,51.35748792,0,45.82125604,290.7826087,0,0,0,0,51.04347826,178.3816425,10.07246377,50.5942029,10.07246377,0,0,0,0,0,60.12077295,20.30434783,0,0,143.2173913,32.64251208,0,0,86.28502415,410.7536232,0,364.7826087,74.94202899,0,0,0,0,0,0,0,0,0
45,LA1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.186170213,35.64893617,0,0,67.88297872,0,185.1755319,0,0,0,0,29.11170213,27.79787234,0,9.04787234,155.3297872,0,0,0,0,28.0106383,87.48404255,11.97340426,28.92021277,11.97340426,0,0,0,0,16.86170213,8.39893617,0.563829787,0,0,65.92553191,19.11702128,0,2.882978723,29.06914894,122.4734043,0,95.18617021,29.06914894,0,0,0,0,0,0,0,8.755319149,1.329787234
